task,model,fold,n,positive,Sensitivity,Precision,Specificity,F1,PR_AUC,ROC_AUC,Brier,TP,FP,TN,FN
T18,M1,1,122,13,0.15384615384615385,0.15384615384615385,0.8990825688073395,0.15384615384615385,0.289108506504448,0.6534932956951306,0.09121428446684646,2,11,98,11
T18,M1,2,121,8,0.875,0.2413793103448276,0.8053097345132744,0.3783783783783784,0.5157242063492063,0.9380530973451328,0.057424192706300704,7,22,91,1
T18,M1,3,120,7,0.2857142857142857,0.2222222222222222,0.9380530973451328,0.25,0.27563669806040436,0.7471554993678887,0.05075332931480694,2,7,106,5
T18,M1,4,121,8,0.5,0.4444444444444444,0.9557522123893806,0.47058823529411764,0.43780736871677717,0.8340707964601769,0.0515897754176836,4,5,108,4
T18,M1,5,121,10,0.3,0.375,0.954954954954955,0.33333333333333326,0.42335605212594196,0.7981981981981981,0.0626541514453529,3,5,106,7
T18,M2,1,122,13,0.38461538461538464,0.5,0.9541284403669725,0.4347826086956522,0.4755712909938262,0.808045165843331,0.08161119287024371,5,5,104,8
T18,M2,2,121,8,0.375,0.75,0.9911504424778761,0.5,0.5910303776683087,0.9280973451327433,0.042843594923134276,3,1,112,5
T18,M2,3,120,7,0.2857142857142857,0.25,0.9469026548672567,0.26666666666666666,0.3000156985871271,0.7269279393173199,0.053099901720024864,2,6,107,5
T18,M2,4,121,8,0.75,0.42857142857142855,0.9292035398230089,0.5454545454545454,0.677618265880461,0.9292035398230089,0.035926960942328334,6,8,105,2
T18,M2,5,121,10,0.6,0.375,0.9099099099099099,0.4615384615384615,0.6128975372453633,0.8369369369369369,0.05050045019262027,6,10,101,4
T21,M0,1,122,2,0.0,0.0,0.875,0.0,0.02357320099255583,0.4625,0.0161685710306657,0,15,105,2
T21,M0,2,121,2,0.0,0.0,0.9327731092436975,0.0,0.016408668730650153,0.25630252100840334,0.01633440756701905,0,8,111,2
T21,M0,3,120,4,0.25,0.02702702702702703,0.6896551724137931,0.04878048780487805,0.09187337782721543,0.5258620689655172,0.03247121088908341,1,36,80,3
T21,M0,4,121,2,0.0,0.0,0.9495798319327731,0.0,0.04755244755244756,0.4957983193277311,0.01629421853518418,0,6,113,2
T21,M0,5,121,3,0.0,0.0,0.9830508474576272,0.0,0.05333495027892311,0.6779661016949152,0.024233556041136924,0,2,116,3
T21,M1,1,122,2,1.0,0.01694915254237288,0.03333333333333333,0.03333333333333333,0.014304915514592934,0.15833333333333333,0.017211686249886643,2,116,4,0
T21,M1,2,121,2,0.0,0.0,0.6050420168067226,0.0,0.017410310521555623,0.3025210084033614,0.01654417167726996,0,47,72,2
T21,M1,3,120,4,0.0,0.0,0.9827586206896551,0.0,0.03598414920627388,0.4525862068965517,0.032485176599260764,0,2,114,4
T21,M1,4,121,2,0.0,,1.0,0.0,0.02408008658008658,0.40336134453781514,0.016319505195870228,0,0,119,2
T21,M1,5,121,3,0.3333333333333333,0.023809523809523808,0.652542372881356,0.044444444444444446,0.05798946444249342,0.6073446327683616,0.02417484344411378,1,41,77,2
T21,M2,1,122,2,0.0,,1.0,0.0,0.030357142857142857,0.6125,0.01614681316143328,0,0,120,2
T21,M2,2,121,2,0.0,,1.0,0.0,0.021749084249084248,0.37815126050420167,0.01661760961267144,0,0,119,2
T21,M2,3,120,4,0.25,0.07142857142857142,0.8879310344827587,0.11111111111111112,0.29489265998773256,0.6637931034482758,0.027997976539471357,1,13,103,3
T21,M2,4,121,2,0.5,0.0625,0.8739495798319328,0.1111111111111111,0.5098039215686274,0.5798319327731092,0.00913482481300714,1,15,104,1
T21,M2,5,121,3,0.0,,1.0,0.0,0.029123509102322663,0.4519774011299435,0.03506865092205,0,0,118,3
